"","airmiles"
"1",30983174
"2",32147663
"3",38342975
"4",35969113
"5",36474391
"6",38772238
"7",40395657
"8",41738499
"9",33580773
"10",36389842
"11",32734901
"12",36866146
"13",28829794
"14",29715369
"15",37179450
"16",34002004
"17",34585497
"18",36981956
"19",38912640
"20",39715971
"21",32047526
"22",34405523
"23",32121254
"24",34447370
"25",33809257
"26",32688448
"27",39908269
"28",38618515
"29",38823805
"30",41119273
"31",42153193
"32",43171610
"33",35309230
"34",38570506
"35",36291556
"36",37511830
"37",35450576
"38",34337785
"39",42448030
"40",40818378
"41",40464057
"42",43527294
"43",46918931
"44",45841044
"45",37829297
"46",41651047
"47",39875749
"48",39190232
"49",36195402
"50",37239740
"51",45664486
"52",43262977
"53",44467601
"54",47261820
"55",48826557
"56",48160579
"57",39573944
"58",42900870
"59",41847515
"60",40727132
"61",38306506
"62",36969339
"63",45686100
"64",43711664
"65",43674826
"66",46654145
"67",49597273
"68",50169907
"69",27077913
"70",34181554
"71",34749808
"72",35726959
"73",33895671
"74",33620972
"75",42633492
"76",39536354
"77",40895024
"78",44060019
"79",47183364
"80",46899366
"81",34776695
"82",40093025
"83",37213997
"84",42407172
"85",37197809
"86",35099316
"87",42910514
"88",40370292
"89",41875126
"90",45592190
"91",49633439
"92",48343838
"93",37858815
"94",42507287
"95",40238253
"96",43698675
"97",39180114
"98",39736435
"99",47876012
"100",47050439
"101",46534130
"102",51134050
"103",54317314
"104",52392985
"105",41816777
"106",47205665
"107",44553653
"108",46316602
"109",42760657
"110",41120838
"111",52053059
"112",48152585
"113",50047901
